Threads: 2, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 74.52
Threads: 3, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 49.43
Threads: 4, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 37.32
Threads: 5, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 30.67
Threads: 6, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 26.55
Threads: 7, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 24.85
Threads: 8, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 23.43
Threads: 9, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 21.7
Threads: 10, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 20.22
Threads: 10, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 35.53
Threads: 5, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 53.64
Threads: 9, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 37.94
Threads: 6, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 46.19
Threads: 2, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 130.03
Threads: 8, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 40.23
Threads: 7, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 43.06
Threads: 4, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 65
Threads: 3, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 86.23
Threads: 1, Passes: 8, PixelCount: 487557, Checksum: 69608811, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 259.73
